"","firstname","surname","party","Eutanasia.pitäisi.sallia.","Haluaisin.että.alueeni.terveyspalveluiden.tuottaja.on.mieluummin.julkinen.kuin.yksityinen.","Homo..ja.lesbopareilla.pitää.olla.samat.avioliitto..ja.adoptio.oikeudet.kuin.heteropareilla.","Hyvä.veli..verkostot.ohjaavat.kuntien.päätöksentekoa.","Jos.kansalaisen.terveysongelmien.voidaan.katsoa.johtua.omista.elintavoista..hänen.pitäisi.osallistua.hoidon.kustannuksiin.","Jos.tulee.eteen.tilanne..jossa.on.välttämätöntä.joko.leikata.julkisia.palveluita.ja.sosiaalietuuksia.tai.korottaa.veroja..veronkorotukset.ovat.parempi.vaihtoehto.","Jos.valtio.tarjoaa.turvapaikanhakijoiden.vastaanottokeskuksen.perustamista.kotikuntaani..tarjous.pitää.hyväksyä.","Julkisia.palveluita.pitäisi.ulkoistaa.nykyistä.enemmän.kunnilta.yrityksille.","Julkisia.palveluita.tulisi.ulkoistaa.entistä.enemmän.yksityisten.yritysten.tuotettavaksi.","Julkisten.terveyspalvelujen.asiakasmaksut.tulisi.poistaa.kokonaan.","Kaikessa.päätöksenteossa.pitäisi.arvioida.vaikutukset.ympäristöön.ja.tarvittaessa.luopua.ympäristölle.haitallisista.hankkeista.","Kannatan.kotikuntani.liittämistä.isompaan.kuntaan.tai.kuntien.yhdistymistä.kotikuntani.kanssa.","Kasvisruoan.määrää.pitäisi.lisätä.kouluissa.ja.liharuuan.vähentää.","Kerjääminen.kaduilla.pitäisi.kieltää.lailla.","Kirjastojen.kirjoista.pitäisi.maksaa.lainausmaksua.kunnan.taloustilanteen.helpottamiseksi.","Kirjastojen.pitäisi.keskittyä.kirjoihin..eikä.laajentua.enempää.tavaroiden.lainaamiseen.tai.muille.vastaaville.uusille.alueille","Koko.Suomi.on.syytä.pitää.asuttuna..vaikka.se.tietäisikin.veronmaksajille.kustannuksia.","Koko.Suomi.tulisi.pitää.asuttuna..vaikka.se.kävisikin.kalliiksi.veronmaksajille.","Kotikunnassani.pitäisi.olla.maksuton.julkinen.liikenne..vaikka.se.nostaisi.veroäyriä.","Kotikuntani.pitäisi.ottaa.aktiivisesti.vastaan.kotoutettavia.turvapaikanhakijoita.","Kouluissa.kohdellaan.koululaisia.liian.lepsusti..Tiukempi.kuri.tekisi.kouluista.parempia.","Koulujen.liikuntatuntien.pitäisi.olla.tytöille.ja.pojille.yhteiset.","Koululuokat.pitäisi.jakaa.oppilaiden.lahjakkuuden.perusteella.tasoryhmiin.","Koululuokissa.tulisi.olla.ylärajat.maahanmuuttajalasten.osuudelle.","Kulttuuripalveluista..museot..teatterit..orkesterit..voidaan.säästää.leikkaamalla.","Kunnassani.on.tärkeämpää.huolehtia.yksityisautoilun.edellytyksistä.kuin.joukkoliikenteestä.","Kuntalaisten.valitusoikeutta.kaavoituskysymyksissä.tulee.rajoittaa.","Kuntani.nykyinen.kouluverkko.tulee.säilyttää.sellaisenaan..vaikka.se.aiheuttaisi.kustannuksia.kuntalaisille.","Kuntani.pitäisi.luopua.vaatimuksesta.rakentaa.autopaikkoja.uusien.asuntojen.yhteyteen.","Kuntani.pitäisi.rohkeammin.käyttää.maiden.pakkolunastuksia.kaavoituksen.vauhdittamiseksi.","Kuntani.pitäisi.tukea.rahallisesti.lasten.hoitamista.kotona.nykyistä.enemmän.","Kuntani.pitää.auttaa.ihmisiä..vaikka.he.oleskelisivat.Suomessa.laittomasti.","Kuntani.pitää.taata.kokopäiväinen.päivähoitopaikka.kaikille.alle.3.vuotiaille..vaikka.näiden.vanhemmista.toinen.olisikin.kotona.","Kuntien.virkoja.täytettäessä.pitäisi.olla.sukupuolikiintiöt.","Lasten.päivähoidon.hinta.pitäisi.suhteuttaa.nykyistä.vahvemmin.vanhempien.tuloihin.","Maahanmuuttajataustaisten.lasten.osuudella.koululuokassa.pitäisi.olla.yläraja.","Monikulttuurisuus.on.kunnalle.hyvä.asia.","Nykyisen.kaltaiset.palvelut.ja.sosiaalietuudet.ovat.pitemmän.päälle.liian.raskaita.julkiselle.taloudelle.","On.parempi..että.kunta.nostaa.veroäyriä.kuin.että.se.leikkaa.palveluistaan.","Oppilaiden.kännykät.pitäisi.jättää.oppitunnin.ajaksi.luokkahuoneen.ulkopuolelle.","Perinteiset.arvot...kuten.koti..uskonto.ja.isänmaa...muodostavat.hyvän.arvopohjan.politiikalle.","Pyörätiet.ja.jalkakäytävät.pitäisi.puhdistaa.lumesta.ja.hiekoittaa.ennen.autoteitä.","Pääomatuloista.pitäisi.maksaa.veroa.kotikuntaan.siinä.missä.ansiotuloistakin.","Rikkaiden.asuinalueilla.ei.tarvita.yhtä.hyviä.julkisia.palveluita.kuin.vähävaraisilla.","Suomalaisten.auttaminen.pitäisi.olla.etusijalla.ulkomaalaisiin.verrattuna.","Suuret.tuloerot.ovat.hyväksyttäviä..jotta.erot.ihmisten.lahjakkuudessa.ja.ahkeruudessa.voidaan.palkita.","Talouskasvu.ja.työpaikkojen.luominen.tulisi.asettaa.ympäristöasioiden.edelle..silloin.kun.nämä.kaksi.ovat.keskenään.ristiriidassa.","Tuloerojen.kasvusta.on.haittaa.yhteiskunnalle.","Vanhempien.oikeutta.valita.lastensa.koulu.tulisi.rajoittaa."
"285","Anna","Laine","vihr",4,4,5,2,2,4,5,2,2,4,5,4,5,2,1,1,3,3,1,5,2,4,2,1,2,1,2,2,5,2,4,5,5,2,4,1,5,2,4,2,2,4,4,1,2,1,1,5,2
"293","Anna","Munsterhjelm","kok",4,3,5,3,1,2,5,4,4,2,5,4,4,1,1,2,4,4,2,5,2,4,4,2,2,2,2,2,4,2,1,5,5,1,4,2,4,4,2,2,3,2,2,1,1,4,2,2,2
"295","Anna","Mäenpää","sdp",4,4,5,2,2,4,5,2,2,4,4,4,5,2,1,2,2,2,2,5,2,5,2,2,2,1,4,4,4,4,1,4,5,4,2,2,5,2,4,4,1,2,2,1,1,2,1,5,2
"302","Anna","Ranki","kesk",3,1,5,3,1,4,5,4,4,2,5,2,4,1,1,5,4,4,2,5,1,5,2,4,2,2,4,5,5,3,2,5,5,5,4,4,5,2,4,3,2,4,4,1,1,2,2,4,2
"308","Anna","Strömberg","rkp",5,2,5,1,4,1,5,2,2,2,4,4,4,2,1,4,1,1,1,5,2,2,4,2,1,2,3,5,2,1,1,4,5,2,1,4,5,4,2,2,2,4,4,1,2,4,3,4,4
"316","Anna","Vuorjoki","vas",4,5,5,4,2,5,4,1,1,4,5,2,5,1,1,2,3,3,4,4,2,4,2,2,1,1,2,2,4,4,2,4,4,2,2,2,5,1,5,2,2,4,4,2,1,1,1,5,4
"350","Anna-Maria","Kantola","sdp",4,5,5,4,1,5,4,1,1,5,5,4,4,2,1,1,3,3,5,2,1,4,2,2,1,1,2,5,4,1,4,2,5,2,2,2,5,1,5,2,1,2,5,1,2,1,1,5,2
"353","Anna-Mili","Tölkkö","skp",3,5,5,4,1,4,5,1,1,5,5,1,4,1,1,1,2,2,5,5,2,5,1,1,2,1,2,4,4,2,2,4,5,2,2,1,5,1,4,2,1,4,5,2,1,1,2,5,4
"425","Anne","Taskinen","vas",5,5,5,4,2,4,5,2,1,4,5,4,5,4,1,2,4,4,4,4,4,4,1,4,1,2,2,5,4,4,2,4,4,4,4,2,5,2,5,5,2,4,5,2,4,1,2,5,2
"434","Anne","Vuori","ps",4,3,1,5,1,2,1,1,1,5,1,4,1,5,1,5,5,5,5,1,5,4,2,5,5,2,1,2,1,1,5,1,4,1,5,5,1,5,4,5,5,1,5,1,5,1,5,5,1
"445","Anneli","Louneva","kd",1,4,2,3,1,4,2,2,2,4,4,2,4,4,1,2,5,5,4,2,4,2,3,2,1,2,2,5,3,2,4,3,2,4,3,3,3,4,4,4,5,2,4,2,4,2,4,4,2
"478","Anne-Marie","Niittynen","kd",1,5,1,3,1,4,1,1,1,2,4,1,2,4,1,4,4,4,4,1,5,1,2,2,2,1,1,4,1,2,4,1,1,4,4,2,4,5,4,5,5,2,5,1,5,2,2,5,2
"480","Annenina","Vilkman","vas",5,5,5,5,1,5,2,1,1,5,5,1,2,5,1,1,2,2,4,2,4,2,1,2,1,2,1,5,1,1,5,4,5,4,4,4,4,1,5,5,2,1,5,1,2,1,2,5,1
"491","Anni","Pasanen","vihr",4,5,5,3,1,5,5,1,1,4,5,4,5,1,1,2,2,2,4,4,1,5,1,2,1,1,2,2,5,4,1,4,5,4,4,2,5,1,5,2,1,4,4,1,1,1,1,5,4
"496","Anni","Sinnemäki","vihr",4,4,5,1,2,4,5,2,2,2,5,4,5,1,1,2,2,2,4,5,2,4,2,2,1,1,1,4,5,4,2,5,5,2,2,2,5,2,4,2,2,4,4,1,1,1,1,4,4
"499","Anni","Wallenius","skp",5,5,5,4,1,5,5,1,1,5,5,1,5,1,1,2,2,2,5,5,2,4,1,4,1,1,2,2,4,3,4,5,4,2,4,4,5,1,5,2,3,5,5,1,1,1,1,5,2
"510","Anniina","Sippola","kesk",4,5,5,4,2,4,4,1,1,2,5,2,4,2,1,2,2,2,2,4,4,4,1,2,2,1,4,4,4,2,2,4,2,2,4,2,5,2,4,2,2,5,1,2,2,1,1,5,4
"514","Annika","Andersson","vihr",3,3,5,2,1,4,4,3,3,4,5,2,4,2,1,2,1,1,2,4,1,3,1,2,1,1,1,2,4,1,2,4,5,2,2,2,5,2,4,2,1,1,4,1,2,4,1,3,2
"539","Annikki","Kaikkonen","vas",4,5,5,4,2,5,4,1,1,5,5,2,4,4,1,2,4,4,4,4,2,2,2,4,1,1,2,2,5,4,2,4,4,2,2,4,4,1,4,4,2,4,4,1,3,1,2,5,2
"551","Ann-Louise","Laaksonen","rkp",4,2,5,2,1,4,5,4,4,2,5,2,4,2,1,2,4,4,4,5,1,2,2,1,1,2,2,5,2,2,2,5,5,4,2,1,5,2,4,4,2,5,2,1,1,4,2,4,1
"552","Ann-Mari","Bergström","rkp",2,4,5,4,1,4,4,1,1,5,5,1,5,4,1,1,2,2,1,5,1,5,4,1,1,2,1,2,1,1,4,2,5,5,4,1,5,2,4,5,2,2,4,2,1,1,1,5,1
"564","Annukka","Mickelsson","kok",5,2,5,3,2,4,4,4,4,2,4,4,4,4,1,2,1,1,4,4,1,2,2,1,1,2,2,3,2,3,1,2,2,2,4,1,5,4,4,4,2,3,4,2,2,4,2,2,2
"587","Anter","Yasa","ps",5,5,5,4,4,5,2,1,1,4,2,4,3,4,2,3,2,2,5,2,2,4,1,4,4,5,1,2,4,1,4,2,4,1,5,1,3,1,5,1,2,2,5,4,3,1,2,5,1
"608","Antti Vasama","Linnanvirta","vihr",5,4,5,3,2,4,4,2,2,2,5,2,2,2,1,1,2,2,2,4,2,2,1,1,1,2,1,2,5,2,2,5,5,3,2,2,5,1,4,1,3,2,4,1,1,2,1,4,2
"633","Antti","Hytti","sdp",4,4,5,2,2,4,3,2,2,4,2,2,2,2,1,4,4,2,2,4,4,3,2,2,2,2,2,4,2,2,2,4,5,1,2,2,4,2,4,4,2,2,3,2,3,2,2,5,4
"651","Antti","Kauppinen","vas",5,5,5,2,1,5,5,1,1,5,5,1,4,1,1,1,2,2,5,5,1,5,1,1,1,1,1,4,5,2,2,5,5,5,5,1,5,1,5,5,1,5,5,1,1,1,1,5,1
"666","Antti","Koskela","sdp",2,4,5,5,2,3,1,1,1,4,4,1,1,2,1,2,1,1,4,1,4,5,1,5,3,1,4,1,4,3,1,2,5,1,1,5,3,4,3,5,3,4,2,1,4,4,4,4,1
"695","Antti","Möller","vihr",4,4,5,2,4,4,5,4,4,4,5,5,5,1,1,1,2,2,1,4,1,2,1,1,2,1,2,4,5,2,2,5,5,2,2,1,5,2,4,2,2,4,4,2,2,1,1,5,4
"722","Antti","Seppänen","skp",5,5,5,5,1,5,5,1,1,5,5,1,5,1,1,1,1,1,4,5,3,4,1,1,1,1,1,5,5,3,5,5,5,5,5,1,5,1,5,5,1,5,5,1,1,1,1,5,4
"723","Antti","Siika-aho","kesk",2,4,5,2,1,2,4,2,2,4,4,1,2,2,1,4,4,4,1,2,2,5,1,1,1,1,1,4,5,4,4,4,5,4,2,1,5,4,2,3,2,4,1,1,4,2,2,4,4
"742","Antti","Vainionpää","vas",5,4,5,4,1,5,4,2,2,5,5,4,5,1,1,2,3,3,4,4,2,5,4,2,1,1,2,5,4,2,4,4,4,2,5,2,4,2,5,4,1,2,5,1,2,1,2,5,2
"751","Antti","Vuorela","sdp",4,4,3.5,4,4,4,4,2,2,2,4,4,3,4,1,2,2,2,2,2,2,2,2,3,2,1,2,4,4,2,4,2,4,2,4,3,3,2,4,4,3,4,4,2,4,2,2,4,2
"768","Antton","Rönnholm","sdp",5,4,5,2,2,4,5,1,2,5,4,2,5,1,1,2,4,4,4,4,2,4,1,2,2,1,2,4,5,5,1,4,5,2,1,2,5,2,4,4,2,4,4,1,3,2,2,5,2
"782","Anu","Korppi","vihr",4,4,5,2,2,5,5,2,2,4,5,5,5,1,1,2,2,2,2,5,1,2,2,1,1,1,1,4,5,2,3,5,5,2,2,1,5,2,5,2,1,2,5,2,1,2,1,4,2
"796","Anu","Suoranta","vas",4,5,5,4,1,5,5,1,1,5,5,4,5,1,1,2,4,4,4,5,1,4,1,2,1,1,2,4,4,4,2,5,5,2,2,2,5,1,5,5,1,2,5,1,1,1,1,5,4
"799","Anu","Tuovinen","kesk",4,2,5,1,4,4,4,2,2,1,4,4,2,2,2,1,4,4,1,4,2,2,2,2,1,1,4,4,2,4,1,4,1,2,4,2,5,4,4,2,2,2,2,2,2,2,2,4,2
"804","Anuriikka","Luotola","vihr",4,4,5,3,2,4,5,2,2,2,5,2,4,2,2,1,2,2,2,4,1,4,2,1,2,2,4,4,4,1,2,4,5,1,2,1,5,2,4,4,4,4,2,1,2,4,1,4,2
"823","Ari","Järvinen","kok",3,2,3,2,4,2,4,4,4,2,3,5,4,4,2,4,4,2,2,4,2,2,4,3,4,1,4,2,4,2,2,2,4,2,2,2,4,4,2,4,5,2,4,1,4,4,3,2,2
"833","ari","laamanen","vihr",5,5,5,5,1,4,4,2,2,5,5,4,2,4,1,2,4,4,1,4,3,4,4,4,2,1,4,2,4,2,5,4,5,2,4,2,4,4,4,5,4,2,4,2,2,3,1,5,4
"835","Ari","Laitinen","vihr",5,3,5,4,1,2,4,2,2,4,5,5,4,1,1,1,1,1,2,5,1,4,3,2,1,1,1,4,4,1,3,3,5,2,2,2,4,2,3,4,1,4,3,1,2,2,1,4,4
"916","Arja Katriina","Ylänkö","sdp",2,5,4,5,2,5,5,2,2,5,5,4,4,2,2,2,4,4,2,4,2,4,2,2,2,2,2,4,2,2,2,4,4,4,4,2,5,2,5,4,4,4,5,2,2,1,2,5,2
"924","Arja","Karhuvaara","kok",2,1,2,4,4,1,4,5,4,2,4,5,4,5,1,2,3,2,4,3,4,4,4,4,2,2,2,2,4,1,4,2,2,1,2,4,5,5,1,5,5,4,3,1,3,4,2,2,1
"933","Arja","Salo","sdp",3,4,5,3,3,4,4,1,2,4,4,4,3,2,2,2,4,4,4,4,3,2,3,1,2,2,2,4,3,4,4,4,4,2,2,1,4,2,4,4,2,2,4,2,2,2,2,4,3
"952","Arto","Alajoutsijärvi","kesk",4,4,4,4,2,4,4,2,2,2,4,4,4,2,2,2,4,4,2,4,4,2,2,4,4,2,2,2,1,2,2,4,2,2,4,4,4,4,4,2,4,2,1,2,2,4,4,2,2
"954","Arto","Dahlman","sdp",4,4,5,4,2,5,4,2,2,2,5,4,2,5,1,2,2,2,2,4,4,2,2,4,4,2,1,5,1,5,2,4,5,2,4,4,4,2,5,4,4,2,5,2,4,2,2,4,1
"959","Arto","Helenius","sdp",4,5,5,4,4,2,3,2,4,2,2,5,2,4,1,4,2,2,4,3,4,2,4,3,1,2,2,4,1,2,3,2,2,2,4,3,4,4,2,5,2,4,4,4,3,2,4,2,1
"1006","Arto","Väisänen","ps",4,4,5,5,4,1,1,1,1,4,4,4,3,5,1,1,5,5,2,1,5,3,4,5,4,2,4,5,1,4,3,1,1,1,1,5,4,5,1,5,4,2,2,1,5,5,2,2,4
"1011","Arttu","Leinonen","vas",5,5,5,4,4,5,4,1,1,4,4,5,4,4,1,2,1,1,4,4,2,5,2,2,2,1,2,2,5,4,2,5,5,4,4,2,5,2,5,4,2,4,5,2,4,2,2,5,4
"1022","Arzu","Caydam-Lehtonen","sdp",1,5,3,4,2,4,3,1,1,4,5,2,2,2,1,1,5,5,2,3,4,4,1,2,1,2,2,5,1,1,4,3,4,2,4,2,5,2,4,1,5,4,3,2,2,2,4,5,1
"1044","Asmo","Maanselkä","kd",1,4,2,5,4,4,4,4,4,4,4,4,2,5,1,2,4,4,2,4,4,2,1,2,4,2,4,5,4,4,5,4,1,1,1,2,2,5,4,5,5,1,2,2,4,4,2,4,1
"1056","Atte","Harjanne","vihr",5,2,5,2,2,2,4,4,4,2,4,4,5,2,1,1,2,2,2,5,4,5,2,2,4,1,2,2,5,2,1,4,4,1,2,2,4,4,2,4,2,2,4,1,4,2,1,4,2
"1058","Atte","Kaleva","kok",3,2,4,3,2,1,2,4,4,2,5,3,2,4,1,2,4,4,2,4,4,2,4,2,2,4,4,4,4,2,2,1,2,1,2,2,2,4,1,4,4,2,2,2,5,4,2,2,2
"1067","August","Halonen","kesk",4,4,5,2,4,5,5,2,2,4,4,3,1,5,2,1,4,4,2,4,5,4,1,5,2,2,1,5,4,2,2,4,1,1,5,5,4,4,5,4,4,1,5,4,4,2,2,5,4
